#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2025-12-16-22-24-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1765835086.358065	CadEde1nF0ULsHDs4i	10.2.20.10	40111	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1662355563.981256	0
1765835086.382257	CadEde1nF0ULsHDs4i	10.2.20.10	40111	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000946	0.000305	183.160.133.132	1765835028.806423	1662355563.981256	1765835087.326050	1765835087.326062	0
1765836110.553298	C2W0xG1Cujum4vVDE4	10.2.20.10	43416	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-2.1774390279352484e+09	0
1765836110.579305	C2W0xG1Cujum4vVDE4	10.2.20.10	43416	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000977	0.000244	183.160.133.132	1765836059.178003	-2.1774390279352484e+09	1765836111.582475	1765836111.582517	0
1765838158.692400	CQpd0y4JeO2vVpUEb4	10.2.20.10	43442	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-583387815.831333	0
1765838158.715205	CQpd0y4JeO2vVpUEb4	10.2.20.10	43442	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000946	0.000198	183.160.133.132	1765838123.321827	-583387815.831333	1765838159.832136	1765838159.832172	0
1765840206.850862	CWl7kkGqjxVj1hiz	10.2.20.10	50644	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	348440145.194082	0
1765840206.872534	CWl7kkGqjxVj1hiz	10.2.20.10	50644	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000961	0.000168	183.160.133.132	1765840192.772231	348440145.194082	1765840208.107369	1765840208.107379	0
1765842254.934306	Ctue8a1UcNK4MFnKdi	10.2.20.10	52033	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-779113559.643317	0
1765842254.956687	Ctue8a1UcNK4MFnKdi	10.2.20.10	52033	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000916	0.000290	183.160.133.132	1765842196.569930	-779113559.643317	1765842256.305575	1765842256.305623	0
1765844303.071696	ClHqJc4KV3jgTWKX59	10.2.20.10	38143	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	547464247.907605	0
1765844303.096727	ClHqJc4KV3jgTWKX59	10.2.20.10	38143	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000977	0.000168	183.160.133.132	1765844263.164545	547464247.907605	1765844304.560738	1765844304.560776	0
1765846351.206045	CkR32XKepsDj0ruV9	10.2.20.10	47806	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	884679216.119525	0
1765846351.231056	CkR32XKepsDj0ruV9	10.2.20.10	47806	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000977	0.000153	183.160.133.132	1765846335.864461	884679216.119525	1765846352.808619	1765846352.808643	0
1765848399.344269	CHCOIawryqliTXi27	10.2.20.10	59944	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1698405880.405220	0
1765848399.363736	CHCOIawryqliTXi27	10.2.20.10	59944	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000916	0.000290	183.160.133.132	1765848272.841957	1698405880.405220	1765848401.058320	1765848401.058360	0
1765850447.481179	CqXk8K2y33FIi4iO01	10.2.20.10	54429	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1784166759.441919	0
1765850447.503889	CqXk8K2y33FIi4iO01	10.2.20.10	54429	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000931	0.000259	183.160.133.132	1765850341.457272	-1784166759.441919	1765850449.313332	1765850449.313383	0
1765852495.613202	Cq25iU1QPe6DE4wAk1	10.2.20.10	32986	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1488629650.713988	0
1765852495.634935	Cq25iU1QPe6DE4wAk1	10.2.20.10	32986	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000961	0.000366	183.160.133.132	1765852413.147813	-1488629650.713988	1765852497.559787	1765852497.559823	0
1765854543.749207	CfhVfw2QnFwigOeYd1	10.2.20.10	50572	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-118113860.371277	0
1765854543.770787	CfhVfw2QnFwigOeYd1	10.2.20.10	50572	185.125.190.58	123	4	4	2	1.000000	0.000000	0.000916	0.000534	183.160.133.132	1765854221.377245	-118113860.371277	1765854545.811489	1765854545.811513	0
1765856591.882741	CKnEJX2ADeE2ekZJW9	10.2.20.10	59963	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	552398825.160450	0
